Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
24/10/2016,"7 CHESTNUT GLEN, GLENEALY, WICKLOW",,Wicklow,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/04/2021,"15 THE GROVE, WHITEFIELD HALL, BETTYSTOWN",,Meath,"€262,555.00",No,Yes,New Dwelling house /Apartment,
18/12/2014,"6 ELM LAWN, MUSKERRY ESTATE, BALLICOLLIG",,Cork,"€199,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2010,"38 Ardkill PLace, Ballinagh",,Cavan,"€130,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
20/12/2021,"2  Moyglare Green, Mariavilla, Maynooth",,Kildare,"€405,286.33",No,Yes,New Dwelling house /Apartment,
18/06/2010,"Rose Cottage, Priest Road, Tramore",,Waterford,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/10/2012,"Main Street, Multyfarnham",,Westmeath,"€117,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"4 CRANN IUR, AUGHABOY, CO. LONGFORD",,Longford,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2014,"103 QUARY MILLS, KILRUSH, CO CLARE",,Clare,"€75,570.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2021,"BALLYCARRIGEEN UPPER, FERNS, CO WEXFORD",,Wexford,"€234,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/06/2021,"APT 1A, 2 DENNEHYS CROSS, CORK",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2020,"1 OAKLANDS PARK, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2012,"38 Gleann na Tra, Sandyroad, Galway",,Galway,"€114,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/06/2015,"4 THE WILLOWS, CARRABAUN, WESTPORT",,Mayo,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/04/2017,"LORD EDWARD ST, SLIGO, SLIGO",,Sligo,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/03/2014,"No 5 Dunaras, Ballymulvey Road, Ballymahon",,Longford,"€85,100.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
12/11/2014,"3 Scramogue Manor, Scramogue, Co. Roscommon",,Roscommon,"€95,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/10/2013,"6 cloghanboy avenue, athlone, westmeath",,Westmeath,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2021,"SPRINGHOUSE, KILSHANE, TIPPERARY TOWN",,Tipperary,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/02/2016,"57 DUBLIN ST, BALBRIGGAN, CO DUBLIN",,Dublin,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2010,"50 Larkfield Gardens, Harolds Cross, Dublin 6w",,Dublin,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2018,"22 ARD NA BHOTHAIR, GLANWORTH, CORK",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2021,"15 COURT CRESCENT, VIRGINIA RD, BALLYJAMESDUFF",,Cavan,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2016,"104 CEANNTS FORT, MOUNT BROWN, DUBLIN 8",Dublin 8,Dublin,"€50,400.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2014,"APT 14 THE CROFTON, GEORGES PLACE, DUNLAOIGHRE",,Dublin,"€237,885.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
17/04/2012,"1 Drumcliffe Drive, cabra west, dublin 7",,Dublin,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2015,"23 CLOONEEN PARK, MANORHAMILTON, LEITRIM",,Leitrim,"€88,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2018,"THE CORN MILL, BOHERQUILL, STREETE",,Westmeath,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2012,"KEALARIDDIG, SNEEM",,Kerry,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2015,"APT 6A THE OAK, THE AVENUE COUNTESS RD, KILLARNEY",,Kerry,"€137,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2021,"STATION RD, BALLINASLOE, CO GALWAY",,Galway,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2018,"17 TRINITY ST, DROGHEDA, LOUTH",,Louth,"€194,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/06/2014,"1 Cloonacastle, Ballinrobe",,Mayo,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2018,"CURRABINNY, CARRIGGALINE, CORK",,Cork,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2014,"B1 Cherrydale, Dublin Road, Limerick",,Limerick,"€45,600.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"84 WOLFE TONE STREET, CORK CITY, COUNTY CORK",,Cork,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"38 COOLBAWN, FERNS, WEXFORD",,Wexford,"€126,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2016,"2 LAOIS NA COILLE, ESKER HILLS GOLF CLUB, TULLAMORE",,Offaly,"€132,158.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/11/2017,"10 KNOCKCARRAIG, ANNYALLA, MONAGHAN",,Monaghan,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2021,"MAIN STREET, EDGEWORTHSTOWN, COUNTY LONGFORD",,Longford,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2019,"21 ABBOTTFIELD, BALLINGAPPA, CLANE",,Kildare,"€270,925.00",No,Yes,New Dwelling house /Apartment,
20/12/2013,"62 Rosanule, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,"€8,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/03/2015,"2 BARRETTS PLACE, MACROOM, CORK",,Cork,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2018,"152 CASTLE AVENUE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€647,280.00",No,No,Second-Hand Dwelling house /Apartment,
27/06/2013,"153 An Sean Bhaile, Doughiska, Galway",,Galway,"€55,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
11/05/2016,"16 BEECHMOUNT PARK, MUCKLAGH, TULLAMORE",,Offaly,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2019,"DOWNINGS, KILTEGAN, WICKLOW",,Wicklow,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2016,"FORTVIEW HOUSE, RAVIGUE, CASTLEPLUNKETT",,Roscommon,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2012,"42 HUBAND ROAD, BLUEBELL, DUBLIN 12",,Dublin,"€66,666.00",No,No,Second-Hand Dwelling house /Apartment,
13/05/2011,"130 Bangor Road, Crumlin, Dublin 12",,Dublin,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2021,"1 LISSADEL WOOD, SWORDS RD, MALAHIDE",,Dublin,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/11/2015,"9 KNOWHEAD RD, MUFF, DONEGAL",,Donegal,"€206,255.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2014,"4 TEMPLE HILL HOUSE, BALLINTEMPLE, CORK",,Cork,"€167,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2022,"40 CLANDONAGH RD, DONNYCARNEY, DUBLIN 5",Dublin 5,Dublin,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2021,"17 FAIRGREEN HOUSE, FORSTER ST, GALWAY",,Galway,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2019,"51 Oldbridge Park, Naas",,Kildare,"€250,944.83",Yes,Yes,New Dwelling house /Apartment,
28/11/2018,"KILBEHA, ASKEATON, CO LIMERICK",,Limerick,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2019,"10 BEENOSKEE, BALLYARD, TRALEE",,Kerry,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
