Date_of_Sale,Postal_Code,County,Price_€_VAT_incl,Description_of_Property,Property_Size_Description,Month_of_Sale,Quarter_of_Sale
2014-06-13,unknown,Dublin,295000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-07-22,dublin 10,Dublin,153000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2021-02-24,unknown,Leitrim,50000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2014-09-05,unknown,Longford,73000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-09-17,unknown,Galway,245000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2016-04-07,dublin 11,Dublin,220000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2011-05-16,unknown,Galway,316000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2019-03-13,dublin 4,Dublin,525000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2013-11-22,unknown,Galway,192950.0,New Dwelling house /Apartment,38 - 125,November,4
2020-12-09,unknown,Kildare,187000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2015-06-02,unknown,Galway,116000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2011-08-05,unknown,Limerick,86000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2014-11-06,unknown,Dublin,1390400.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-09-27,unknown,Louth,80000.0,New Dwelling house /Apartment,38 - 125,September,3
2016-12-19,unknown,Cork,363200.0,New Dwelling house /Apartment,38 - 125,December,4
2012-01-10,unknown,Donegal,23858.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2019-12-17,dublin 20,Dublin,490000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2010-11-15,unknown,Tipperary,107825.0,New Dwelling house /Apartment,38 - 125,November,4
2010-01-15,unknown,Galway,410000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2017-07-19,unknown,Clare,76000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2010-04-09,unknown,Dublin,287500.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2015-08-14,unknown,Westmeath,80000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2020-12-17,unknown,Cork,219000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-05-09,unknown,Dublin,227000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-12-18,dublin 15,Dublin,365000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-11-18,dublin 11,Dublin,115000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2015-11-19,unknown,Dublin,171263.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2016-03-08,unknown,Clare,32999.0,New Dwelling house /Apartment,38 - 125,March,1
2017-12-21,unknown,Cavan,80000.0,New Dwelling house /Apartment,38 - 125,December,4
2021-06-04,unknown,Waterford,216000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2021-05-27,unknown,Wicklow,338000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2016-03-04,unknown,Laois,186000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2012-10-17,unknown,Dublin,197000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2013-12-18,unknown,Galway,411000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2011-09-20,unknown,Dublin,400000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2017-01-17,dublin 5,Dublin,397500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2019-03-13,unknown,Tipperary,163000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2016-12-15,unknown,Cork,198000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2016-12-16,unknown,Dublin,215000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-03-24,unknown,Wexford,142000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2014-10-31,unknown,Roscommon,80000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-11-20,unknown,Wicklow,525000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-05-24,unknown,Mayo,90000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2014-11-21,unknown,Mayo,120000.0,New Dwelling house /Apartment,>= 125,November,4
2013-07-05,unknown,Cork,163000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-09-20,unknown,Mayo,57287.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2012-08-27,unknown,Cork,137000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2016-02-19,unknown,Waterford,95000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2015-02-23,dublin 18,Dublin,220000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2017-04-07,unknown,Donegal,47000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2013-08-13,unknown,Wicklow,279999.0,New Dwelling house /Apartment,38 - 125,August,3
2020-06-11,unknown,Galway,133663.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2014-01-06,unknown,Wexford,110000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2016-06-15,unknown,Dublin,110393.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2017-03-20,unknown,Cork,37000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2019-05-28,dublin 1,Dublin,250000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2011-10-07,unknown,Meath,238000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2018-02-06,unknown,Kildare,285753.0,New Dwelling house /Apartment,38 - 125,February,1
2013-03-08,unknown,Kerry,110000.0,New Dwelling house /Apartment,>= 125,March,1
2013-03-13,unknown,Dublin,120000.0,New Dwelling house /Apartment,38 - 125,March,1
2013-10-25,unknown,Mayo,110000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2015-11-27,unknown,Wexford,128000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2010-08-31,unknown,Clare,175000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2010-01-06,unknown,Laois,130000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2019-03-27,unknown,Kildare,335000.0,New Dwelling house /Apartment,unknown,March,1
2021-02-26,unknown,Waterford,260000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2021-03-18,dublin 15,Dublin,259912.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2017-11-30,unknown,Meath,345000.0,New Dwelling house /Apartment,38 - 125,November,4
2017-09-20,unknown,Louth,300000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2014-06-09,unknown,Cork,117000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2019-06-21,unknown,Limerick,272500.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-09-01,unknown,Kildare,80000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2014-12-23,unknown,Dublin,235002.0,New Dwelling house /Apartment,>= 125,December,4
2013-08-09,unknown,Meath,49500.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2015-12-22,unknown,Galway,69000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2020-03-10,dublin 4,Dublin,330000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2014-12-19,dublin 7,Dublin,295000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2019-11-08,unknown,Galway,232000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2014-10-06,dublin 11,Dublin,194086.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2013-11-18,unknown,Kildare,410000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-04-26,dublin 24,Dublin,237000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2012-10-30,unknown,Donegal,40000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2021-06-25,unknown,Meath,262000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-10-04,unknown,Cork,40000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2018-10-11,unknown,Limerick,92000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2015-04-29,unknown,Sligo,255375.0,New Dwelling house /Apartment,>= 125,April,2
2018-06-11,unknown,Tipperary,140000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2013-12-04,dublin 16,Dublin,565000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2019-05-31,unknown,Dublin,354977.0,New Dwelling house /Apartment,unknown,May,2
2010-05-04,unknown,Leitrim,125000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2013-06-28,unknown,Louth,162000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2010-07-16,unknown,Dublin,252000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
