Not_Full_Market_Price,Year_of_Sale,Location,New_Property_VAT_Exclusive,Properties_purchased_each_year,Wealth_in_Ireland,Ireland_Mortgage_Rates,Log_Price
0,2016,Leitrim,0,1006,190618.0,0.0361,11.37366339763672
0,2015,Cork,0,998,180068.0,0.0405,12.35017298950393
0,2016,Wexford,1,1006,190618.0,0.0361,10.998760939938723
0,2012,Kildare,0,485,152843.0,0.0433,12.542544882151386
0,2018,Tipperary,0,1122,210015.0,0.0321,12.206072645530174
0,2021,Roscommon,0,1060,212773.0,0.028,10.46310334047155
0,2013,Dublin 6,0,547,162434.0,0.0438,14.48333993053993
0,2019,Carlow,1,1154,215555.0,0.0302,12.481565733211923
0,2016,Tipperary,0,1006,190618.0,0.0361,11.77528972943772
0,2014,Dublin,0,847,176960.0,0.042,12.594730635321957
0,2016,Dublin 10,0,1006,190618.0,0.0361,11.938193200374572
0,2021,Leitrim,0,1060,212773.0,0.028,10.819778284410283
0,2014,Longford,0,847,176960.0,0.042,11.198214720130528
0,2021,Galway,0,1060,212773.0,0.028,12.409013489526863
0,2016,Dublin 11,0,1006,190618.0,0.0361,12.301382825334498
0,2011,Galway,0,357,155962.0,0.0442,12.66349749256905
0,2019,Dublin 4,0,1154,215555.0,0.0302,13.17115354157376
0,2013,Galway,1,547,162434.0,0.0438,12.043553716032399
0,2020,Kildare,0,917,208098.0,0.0292,12.138863895836725
0,2015,Galway,0,998,180068.0,0.0405,11.661345470088502
0,2011,Limerick,0,357,155962.0,0.0442,11.362102575235644
0,2014,Dublin,0,847,176960.0,0.042,15.424948470398375
0,2018,Louth,1,1122,210015.0,0.0321,11.163155200205026
0,2016,Cork,1,1006,190618.0,0.0361,12.676076274775909
0,2012,Donegal,0,485,152843.0,0.0433,9.210340371976184
0,2019,Dublin 20,0,1154,215555.0,0.0302,13.102160670086809
0,2010,Tipperary,1,413,161348.0,0.0402,11.461632170582678
0,2010,Galway,0,413,161348.0,0.0402,12.92391243868049
1,2017,Wexford,0,1081,199406.0,0.0344,12.301382825334498
0,2017,Clare,0,1081,199406.0,0.0344,11.238488619268468
0,2010,Dublin,0,413,161348.0,0.0402,12.568978139219542
0,2015,Westmeath,0,998,180068.0,0.0405,11.289781913656018
1,2018,Dublin 2,0,1122,210015.0,0.0321,11.62152127142619
0,2020,Cork,0,917,208098.0,0.0292,12.296827008798639
0,2017,Dublin,0,1081,199406.0,0.0344,12.332705296463539
0,2018,Dublin 15,0,1122,210015.0,0.0321,12.80765263256463
0,2014,Dublin 11,0,847,176960.0,0.042,11.652687407345388
0,2015,Dublin,0,998,180068.0,0.0405,12.05095566565203
0,2016,Clare,1,1006,190618.0,0.0361,10.27759958298627
0,2017,Cavan,1,1081,199406.0,0.0344,11.163149383347646
0,2021,Waterford,0,1060,212773.0,0.028,12.283033686666302
0,2021,Wicklow,0,1060,212773.0,0.028,12.730801174465157
0,2016,Laois,0,1006,190618.0,0.0361,12.133501952695338
0,2012,Dublin,0,485,152843.0,0.0433,12.190959007720126
0,2013,Galway,0,547,162434.0,0.0438,12.926348493478372
0,2011,Dublin,0,357,155962.0,0.0442,12.89921982609012
0,2017,Dublin 5,0,1081,199406.0,0.0344,12.892950213076524
0,2019,Tipperary,0,1154,215555.0,0.0302,12.0015054797889
0,2016,Cork,0,1006,190618.0,0.0361,12.196022309676673
0,2016,Dublin,0,1006,190618.0,0.0361,12.2783933071098
1,2019,Waterford,1,1154,215555.0,0.0302,12.192960657903427
0,2021,Wexford,0,1060,212773.0,0.028,11.863582336583399
0,2014,Roscommon,0,847,176960.0,0.042,11.289781913656018
0,2019,Wicklow,0,1154,215555.0,0.0302,13.17115354157376
0,2018,Mayo,0,1122,210015.0,0.0321,11.407564949312402
0,2014,Mayo,1,847,176960.0,0.042,11.56861557916342
0,2013,Cork,0,547,162434.0,0.0438,12.0015054797889
0,2015,Mayo,0,998,180068.0,0.0405,10.955824113189012
0,2012,Cork,0,485,152843.0,0.0433,11.827736204810263
0,2016,Waterford,0,1006,190618.0,0.0361,11.461632170582678
0,2015,Dublin 18,0,998,180068.0,0.0405,12.301382825334498
0,2017,Donegal,0,1081,199406.0,0.0344,10.757902880692196
0,2013,Wicklow,1,547,162434.0,0.0438,12.415908034780644
0,2020,Galway,0,917,208098.0,0.0292,11.803080053234012
1,2021,Kilkenny,1,1060,212773.0,0.028,12.457963019033896
0,2014,Wexford,0,847,176960.0,0.042,11.608235644774552
0,2016,Dublin,0,1006,190618.0,0.0361,11.611802005017799
0,2017,Cork,0,1081,199406.0,0.0344,10.51867319162636
0,2019,Dublin 1,0,1154,215555.0,0.0302,12.429216196844383
0,2011,Meath,0,357,155962.0,0.0442,12.380025952653611
0,2018,Kildare,1,1122,210015.0,0.0321,12.43625139172538
0,2013,Kerry,1,547,162434.0,0.0438,11.481602998386641
0,2013,Dublin,1,547,162434.0,0.0438,11.56861557916342
1,2020,Laois,1,917,208098.0,0.0292,12.162751175755881
0,2013,Mayo,0,547,162434.0,0.0438,11.608235644774552
0,2015,Wexford,0,998,180068.0,0.0405,11.759785542901755
1,2015,Carlow,0,998,180068.0,0.0405,11.918390573078392
0,2010,Clare,0,413,161348.0,0.0402,12.072541252905651
0,2010,Laois,0,413,161348.0,0.0402,11.77528972943772
0,2019,Kildare,1,1154,215555.0,0.0302,12.595253142858912
0,2021,Waterford,0,1060,212773.0,0.028,12.468436909997665
0,2021,Dublin 15,0,1060,212773.0,0.028,12.468097967947912
1,2017,Wexford,0,1081,199406.0,0.0344,11.884489021402711
0,2017,Meath,1,1081,199406.0,0.0344,12.624667019717812
0,2017,Louth,0,1081,199406.0,0.0344,12.611537753638338
0,2014,Cork,0,847,176960.0,0.042,11.669929213779893
0,2019,Limerick,0,1154,215555.0,0.0302,12.515393893085436
0,2016,Kildare,0,1006,190618.0,0.0361,11.289781913656018
1,2018,Offaly,0,1122,210015.0,0.0321,11.097410021008562
0,2014,Dublin,1,847,176960.0,0.042,12.240715588973714
0,2013,Meath,0,547,162434.0,0.0438,10.809727948556782
0,2015,Galway,0,998,180068.0,0.0405,11.141861783579396
0,2020,Dublin 4,0,917,208098.0,0.0292,12.706847933442663
0,2014,Dublin 7,0,847,176960.0,0.042,12.594730635321957
0,2019,Galway,0,1154,215555.0,0.0302,12.354492650648448
0,2014,Dublin 11,0,847,176960.0,0.042,12.176056638786578
0,2013,Kildare,0,547,162434.0,0.0438,12.92391243868049
0,2018,Dublin 24,0,1122,210015.0,0.0321,12.375815420117268
0,2012,Donegal,0,485,152843.0,0.0433,10.596634733096073
0,2021,Meath,0,1060,212773.0,0.028,12.476099782743233
0,2016,Cork,0,1006,190618.0,0.0361,10.596634733096073
0,2018,Limerick,0,1122,210015.0,0.0321,11.429543856031177
0,2015,Sligo,1,998,180068.0,0.0405,12.323855681186558
0,2018,Tipperary,0,1122,210015.0,0.0321,11.84939770159144
0,2013,Dublin 16,0,547,162434.0,0.0438,13.244581010128577
0,2019,Dublin,1,1154,215555.0,0.0302,12.653176470550045
0,2010,Leitrim,0,413,161348.0,0.0402,11.736069016284437
0,2013,Louth,0,547,162434.0,0.0438,11.99535161421452
0,2010,Dublin,0,413,161348.0,0.0402,12.437184366493561
0,2020,Louth,0,917,208098.0,0.0292,12.100712129872347
0,2019,Limerick,0,1154,215555.0,0.0302,12.061046873479915
0,2018,Cork,0,1122,210015.0,0.0321,12.429216196844383
0,2016,Sligo,0,1006,190618.0,0.0361,10.87804719253426
0,2020,Meath,0,917,208098.0,0.0292,12.301382825334498
0,2012,Kerry,1,485,152843.0,0.0433,11.568614444164147
0,2017,Dublin 12,0,1081,199406.0,0.0344,12.230765258120545
0,2014,Dublin 7,0,847,176960.0,0.042,11.899547485276912
0,2018,Dublin 6,1,1122,210015.0,0.0321,13.171363043436237
0,2015,Dublin 3,0,998,180068.0,0.0405,13.226723392728571
0,2021,Roscommon,0,1060,212773.0,0.028,11.84939770159144
0,2015,Dublin 15,0,998,180068.0,0.0405,12.581078546153629
0,2011,Laois,1,357,155962.0,0.0442,11.951180395901384
0,2021,Cork,0,1060,212773.0,0.028,12.266697267346608
0,2017,Cork,0,1081,199406.0,0.0344,12.230765258120545
0,2021,Dublin 18,0,1060,212773.0,0.028,14.077874822431765
0,2021,Dublin,0,1060,212773.0,0.028,13.527828485512494
1,2019,Kildare,1,1154,215555.0,0.0302,12.39341337683401
0,2011,Meath,0,357,155962.0,0.0442,11.884489021402711
0,2019,Waterford,1,1154,215555.0,0.0302,12.286450020273362
0,2015,Cork,1,998,180068.0,0.0405,12.219206023920137
0,2019,Galway,0,1154,215555.0,0.0302,13.217673557208654
0,2018,Louth,1,1122,210015.0,0.0321,12.140067289115553
1,2020,Cork,1,917,208098.0,0.0292,12.508690669256685
1,2019,Dublin 9,1,1154,215555.0,0.0302,12.886641043883259
0,2011,Dublin,0,357,155962.0,0.0442,12.175613438045465
0,2015,Tipperary,1,998,180068.0,0.0405,11.791753455468385
0,2018,Dublin 24,1,1122,210015.0,0.0321,12.681019972042222
0,2018,Limerick,0,1122,210015.0,0.0321,11.472103470449973
0,2019,Kildare,1,1154,215555.0,0.0302,12.333558852785522
0,2010,Westmeath,0,413,161348.0,0.0402,12.211060187041213
0,2019,Roscommon,0,1154,215555.0,0.0302,11.461632170582678
0,2011,Kildare,0,357,155962.0,0.0442,12.468436909997665
0,2019,Louth,0,1154,215555.0,0.0302,11.918390573078392
0,2021,Meath,1,1060,212773.0,0.028,12.21484406391726
0,2021,Dublin 14,0,1060,212773.0,0.028,13.38472764187182
0,2012,Dublin,0,485,152843.0,0.0433,13.038981768465277
0,2017,Donegal,0,1081,199406.0,0.0344,9.190137664658664
